#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: MemLabs Lab 1
# Investigation Date: 2022-01-16-0854:41
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.111
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-08-0433:36	 Last Accessed: 2022-01-08-0433:36	 Last Modified: 2021-02-28-2153:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw
# File Name: MemoryDump_Lab1.raw	 File Size: 1.07 GBs	 Creation Date: 2022-01-16-0853:49	 Last Accessed: 2022-01-16-0853:50	 Last Modified: 2019-12-11-0838:17	 
# MD5: b9fec1a443907d870cb32b048bda9380	 SHA-256: 88e708413898c98351d1a5a221799fc34460dfecb20e482ca5247b0b113b8cf2	 
#
# Plugin Details
# ======================
# Plugin Name: timeliner
# Plugin Description: Creates a timeline from various artifacts in memory
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw" timeliner --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
2009-07-14 04:49:01 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SECURITYPROVIDERS\WDIGEST| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:21 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\CREDSSP| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:21 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\CREDSSP| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 09:11:30 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\IDENTITYSTORE\CACHE| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\PROTECT\PROVIDERS\DF9D8CD0-1501-11D1-8C7A-00C04FC297EB| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 02:34:32 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\AUDIT\PERUSERAUDITING\SYSTEM| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:21 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\AUDIT\AUDITPOLICY| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-05 02:44:28 UTC+0000|[Handle (Key)]| MACHINE\SAM\SAM| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:45:46 UTC+0000|[Handle (Key)]| MACHINE\SAM\SAM\RXACT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-10 10:17:14 UTC+0000|[Handle (Key)]| MACHINE\SAM\SAM\DOMAINS\BUILTIN| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 13:39:42 UTC+0000|[Handle (Key)]| MACHINE\SAM\SAM\DOMAINS\ACCOUNT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 05:09:05 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\SECURITYPROVIDERS\SCHANNEL| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 13:41:36 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 05:09:05 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\POLICIES\MICROSOFT\CRYPTOGRAPHY\CONFIGURATION\SSL\00010002| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:01 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\CRYPT32| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 05:09:05 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\MY| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-11 14:37:13 UTC+0000|[Handle (Key)]| USER| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:53:48 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\CRYPTOGRAPHY\OID\ENCODINGTYPE 0\CERTDLLCREATECERTIFICATECHAINENGINE\CONFIG| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\ENTERPRISECERTIFICATES\CA| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:56 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\MY| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:57 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\CA| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:45:48 UTC+0000|[Handle (Key)]| USER\S-1-5-19| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\CA| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\ENTERPRISECERTIFICATES\DISALLOWED| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:57 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\DISALLOWED| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:45:48 UTC+0000|[Handle (Key)]| USER\S-1-5-19| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\DISALLOWED| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\ROOT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\ENTERPRISECERTIFICATES\ROOT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:57 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\ROOT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:53:48 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\AUTHROOT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\ENTERPRISECERTIFICATES\TRUSTEDPEOPLE| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\SMARTCARDROOT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:57 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\TRUSTEDPEOPLE| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:57 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\SMARTCARDROOT| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:45:48 UTC+0000|[Handle (Key)]| USER\S-1-5-19| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\TRUSTEDPEOPLE| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\ENTERPRISECERTIFICATES\TRUST| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 13:26:57 UTC+0000|[Handle (Key)]| USER\S-1-5-19\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\TRUST| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:45:48 UTC+0000|[Handle (Key)]| USER\S-1-5-19| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2009-07-14 04:49:06 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SYSTEMCERTIFICATES\TRUST| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
2019-12-04 14:11:10 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\POLICIES\MICROSOFT\SYSTEMCERTIFICATES| lsass.exe PID: 492/PPID: 424/POffset: 0x3eea0580
