Volatility Foundation Volatility Framework 2.6
Last Modified                  Path
2019-12-04 14:18:50 UTC+0000   \??\C:\Users\SmartNet\Downloads\Firefox Installer.exe
2019-12-02 12:04:01 UTC+0000   \??\C:\Users\SmartNet\AppData\Local\Temp\7zS4F6F72A8\setup-stub.exe
2019-12-04 14:18:45 UTC+0000   \??\C:\Users\SmartNet\Downloads\Firefox Installer.exe
2009-07-14 01:14:35 UTC+0000   \??\C:\Windows\SysWOW64\sdiagnhost.exe
2009-07-14 01:14:25 UTC+0000   \??\C:\Windows\SysWOW64\msdt.exe
2009-07-14 01:14:25 UTC+0000   \??\C:\Windows\system32\msdt.exe
2019-10-10 18:48:12 UTC+0000   \??\C:\Program Files\Oracle\VirtualBox Guest Additions\VBoxDrvInst.exe
2019-10-10 18:50:58 UTC+0000   \??\D:\VBoxWindowsAdditions-amd64.exe
2019-10-10 18:46:21 UTC+0000   \??\D:\VBoxWindowsAdditions.exe
2019-10-10 18:48:27 UTC+0000   \??\D:\VBoxWindowsAdditions-x86.exe
2009-07-14 01:39:27 UTC+0000   \??\C:\Windows\System32\powercfg.exe
2009-06-10 20:39:58 UTC+0000   \??\C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe
2009-06-10 21:23:09 UTC+0000   \??\C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe
2010-11-21 03:24:51 UTC+0000   \??\C:\Windows\System32\sbe.dll
2010-11-21 03:24:52 UTC+0000   \??\C:\Windows\System32\mf.dll
2010-11-21 03:24:52 UTC+0000   \??\C:\Program Files\Windows Media Player\wmpshare.exe
2010-11-21 03:24:27 UTC+0000   \??\C:\Windows\system32\runonce.exe
2010-11-21 03:23:52 UTC+0000   \??\C:\Windows\system32\oobe\msoobe.exe
2009-07-14 01:39:26 UTC+0000   \??\C:\Windows\system32\oobe\oobeldr.exe
2010-11-21 03:24:24 UTC+0000   \??\C:\Windows\system32\oobe\windeploy.exe
2010-11-21 03:24:15 UTC+0000   \??\C:\Windows\WinSxS\amd64_netfx-clrgc_b03f5f7f11d50a3a_6.1.7601.17514_none_ad7a390fa131c970\clrgc.exe
2009-07-14 01:39:25 UTC+0000   \??\C:\Windows\System32\netsh.exe
