Volatility Foundation Volatility Framework 2.6
Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000003e801310      2      1 ------ \Device\NamedPipe\MsFteWds
0x000000003e809610      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\dot3api.dll
0x000000003e80b9f0      2      1 ------ \Device\Afd\Endpoint
0x000000003e80bf20      2      1 ------ \Device\Afd\Endpoint
0x000000003e80c070      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\eappcfg.dll
0x000000003e80fb00     15      0 R--r-d \Device\HarddiskVolume2\Windows\ehome\ehepgres.dll
0x000000003e8105e0      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Links\desktop.ini
0x000000003e811220      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Favorites\desktop.ini
0x000000003e811370      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Downloads\desktop.ini
0x000000003e811df0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchFolder.dll
0x000000003e813070      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\p2pcollab.dll
0x000000003e813260      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ListSvc.dll
0x000000003e813bf0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssitlb.dll
0x000000003e813d40      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\FirewallAPI.dll.mui
0x000000003e815f20      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanhlp.dll
0x000000003e817070      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Favorites\Links for United States\desktop.ini
0x000000003e8179c0      6      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-HomeGroup Provider Service%4Operational.evtx
0x000000003e817ea0      1      1 RW-rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_idx.db
0x000000003e818440      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003e819f20     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\pnrpsvc.dll
0x000000003e81d160      1      1 ------ \Device\Afd\Endpoint
0x000000003e821ae0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wlanutil.dll
0x000000003e823530     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\QAGENTRT.DLL
0x000000003e824070      1      1 ------ \Device\Afd\Endpoint
0x000000003e825b70      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchProtocolHost.exe
0x000000003e826070     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\onex.dll
0x000000003e826af0      2      0 R--r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Roaming\PeerNetworking\idstore.sst
0x000000003e827ae0     19      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e8288a0      2      0 -W---- \Device\HarddiskVolume2\ProgramData\Microsoft\Crypto\RSA\MachineKeys\70c33714c1abfbe0e9eb6a98b63f0b36_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x000000003e828f20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\eappprxy.dll
0x000000003e829100      2      1 R--rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Network Shortcuts
0x000000003e82aaa0      2      1 R--rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Network Shortcuts
0x000000003e82bb30      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msshooks.dll
0x000000003e82d2a0     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\StructuredQuery.dll
0x000000003e82e480      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Windows PowerShell\Windows PowerShell (x86).lnk
0x000000003e82e930      1      0 R--r-- \Device\HarddiskVolume2\Windows\System32\Microsoft\Protect\S-1-5-18\Preferred
0x000000003e82ee60     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e82f600     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\mssvp.dll.mui
0x000000003e830a20     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuapp.exe
0x000000003e830b70     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wscinterop.dll
0x000000003e831110     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e832660      2      2 RW-rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000003e8327b0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wuauclt.exe
0x000000003e832900      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\werconcpl.dll
0x000000003e834b40     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\SearchFilterHost.exe
0x000000003e835b60      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mscoree.dll
0x000000003e837070     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\NaturalLanguage6.dll
0x000000003e8383d0     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\dnsapi.dll.mui
0x000000003e838680      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\IdListen.dll
0x000000003e838dc0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mapi32.dll
0x000000003e83b630      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Pictures\desktop.ini
0x000000003e83c740     16      0 R--r-d \Device\HarddiskVolume2\Program Files\Windows Media Player\en-US\wmpnscfg.exe.mui
0x000000003e83d320     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\fveui.dll
0x000000003e83e070      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\WinRAR\Console RAR manual.lnk
0x000000003e83e230      1      0 R--rw- \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Magnify.lnk
0x000000003e83e450      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003e83edc0      1      0 R--r-- \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\1041748285595fb8.customDestinations-ms
0x000000003e8407c0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\hgprint.dll
0x000000003e8438c0      2      0 -W---- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Roaming\PeerNetworking\idstore.sst.new
0x000000003e844700     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\p2psvc.dll
0x000000003e844c30     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\UIAnimation.dll
0x000000003e846940      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\mssvp.dll
0x000000003e8493d0      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Print Management.lnk
0x000000003e849f20      1      0 R--r-- \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\337ed59af273c758.customDestinations-ms
0x000000003e84a070      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Computer Management.lnk
0x000000003e84ace0     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\P2PGraph.dll
0x000000003e84c990      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\WWanAPI.dll
0x000000003e84ce90      1      0 R--r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\SystemCertificates\My\Certificates\7BB81AC141230E70E03D8F881C28B39C783CCD00
0x000000003e8505e0      5      0 R--r-d \Device\HarddiskVolume2\Program Files\Windows Media Player\wmpnscfg.exe
0x000000003e8518a0      2      1 R--r-d \Device\HarddiskVolume2\Windows\System32\es.dll
0x000000003e851a80      6      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Diagnostics-Performance%4Operational.evtx
0x000000003e852070      2      1 RW-r-- \Device\HarddiskVolume2\Users\Alissa Simpson\NTUSER.DAT{016888bd-6c6f-11de-8d1d-001e0bcde3ec}.TM.blf
0x000000003e852510     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e852b70     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drttransport.dll
0x000000003e855ba0     17      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e8562f0      5      0 R--r-d \Device\HarddiskVolume2\Program Files\Windows Media Player\wmpnssci.dll
0x000000003e856d00      3      1 R--rwd \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\SystemCertificates\My
0x000000003e85b070      2      1 ------ \Device\Afd\Endpoint
0x000000003e85b620     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\p2psvc.dll.mui
0x000000003e85bdd0      1      1 RW---- \Device\HarddiskVolume2\Users\Alissa Simpson\AppData\Local\Microsoft\Windows\UsrClass.dat
