 registry_hive	 path	 reg_binary	 time_focused	 last_updated	 count	 focus_count	 reg_data_first_line
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 UEME_CTLCUACount:ctor	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 0	 0x00000000  ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 D:\VBoxWindowsAdditions.exe	 0:00:00.500000	 2019-12-04 14:10:28 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 C:\Users\SmartNet\Desktop\st4G3$$1.bat	 0:00:00.500000	 2019-12-11 09:02:35 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 UEME_CTLCUACount:ctor	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 0	 0x00000000  ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count	 UEME_CTLCUACount:ctor	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 0	 0x00000000  ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 UEME_CTLCUACount:ctor	 0:00:00.500000	 1970-01-01 00:00:00 UTC+0000	 0	 0	 0x00000000  ff ff ff ff 00 00 00 00 00 00 00 00 00 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %APPDATA%\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Internet Explorer.lnk	 0:00:00.501000	 2019-12-04 14:16:09 UTC+0000	 1	 0	 0x00000000  00 00 00 00 01 00 00 00 00 00 00 00 01 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 ::{ED228FDF-9EA8-4870-83B1-96B02CFE0D52}\{00D8862B-6453-4957-A821-3D98D74C76BE}	 0:00:00.506000	 2019-12-04 13:26:07 UTC+0000	 6	 0	 0x00000000  00 00 00 00 06 00 00 00 00 00 00 00 06 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 ::{ED228FDF-9EA8-4870-83B1-96B02CFE0D52}\{00D8862B-6453-4957-A821-3D98D74C76BE}	 0:00:00.506000	 2019-12-11 09:10:08 UTC+0000	 6	 0	 0x00000000  00 00 00 00 06 00 00 00 00 00 00 00 06 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %APPDATA%\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Magnify.lnk	 0:00:00.507000	 2019-12-04 13:26:07 UTC+0000	 7	 0	 0x00000000  00 00 00 00 07 00 00 00 00 00 00 00 07 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 C:\Users\SmartNet\Desktop\Firefox.lnk	 0:00:00.507000	 2019-12-11 12:10:33 UTC+0000	 7	 0	 0x00000000  00 00 00 00 07 00 00 00 00 00 00 00 07 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %APPDATA%\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Magnify.lnk	 0:00:00.507000	 2019-12-11 09:10:08 UTC+0000	 7	 0	 0x00000000  00 00 00 00 07 00 00 00 00 00 00 00 07 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk	 0:00:00.508000	 2019-12-04 13:26:07 UTC+0000	 8	 0	 0x00000000  00 00 00 00 08 00 00 00 00 00 00 00 08 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Accessories\Remote Desktop Connection.lnk	 0:00:00.508000	 2019-12-11 09:10:08 UTC+0000	 8	 0	 0x00000000  00 00 00 00 08 00 00 00 00 00 00 00 08 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %APPDATA%\Microsoft\Internet Explorer\Quick Launch\User Pinned\TaskBar\Windows Explorer.lnk	 0:00:00.509000	 2019-12-11 14:34:21 UTC+0000	 9	 0	 0x00000000  00 00 00 00 09 00 00 00 00 00 00 00 09 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Accessories\Paint.lnk	 0:00:00.509000	 2019-12-11 09:10:08 UTC+0000	 9	 0	 0x00000000  00 00 00 00 09 00 00 00 00 00 00 00 09 00 00 00   ................
C:\Users\SmartNet\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk	 0:00:00.510000	 2019-12-04 13:26:07 UTC+0000	 10	 0	 0x00000000  00 00 00 00 0a 00 00 00 00 00 00 00 0a 00 00 00   ................
C:\Users\Alissa Simpson\ntuser.dat	 Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{F4E57C4B-2036-45F0-A9AB-443BCFE33D9F}\Count	 %ALLUSERSPROFILE%\Microsoft\Windows\Start Menu\Programs\Accessories\Snipping Tool.lnk	 0:00:00.510000	 2019-12-11 09:10:08 UTC+0000	 10	 0	 0x00000000  00 00 00 00 0a 00 00 00 00 00 00 00 0a 00 00 00   ................
