Volatility Foundation Volatility Framework 2.6
**************************************************
SharedInfo: 0xfffff960003be520, SessionId: 0 Shared delta: 0
aheList: 0xfffff900c0400000, Table size: 0x2000, Entry size: 0x18

Object(V)                      Handle bType                 Flags    Thread  Process
------------------ ------------------ -------------------- -------- -------- -------
0xfffff900c05824b0            0x10001 TYPE_MONITOR            0     -------- -
0xfffff900c0141a00            0x10002 TYPE_WINDOW             64      468    320
0xfffff900c00bf5a0            0x10003 TYPE_CURSOR             0     -------- 320
0xfffff900c05b0b90            0x10004 TYPE_WINDOW             0       468    320
0xfffff900c00deb90            0x10005 TYPE_CURSOR             0     -------- 320
0xfffff900c05b0e60            0x10006 TYPE_WINDOW             0       468    320
0xfffff900c00dea60            0x10007 TYPE_CURSOR             0     -------- 320
0xfffff900c05b1070            0x10008 TYPE_WINDOW             0       468    320
0xfffff900c00dfb90            0x10009 TYPE_CURSOR             0     -------- 320
0xfffff900c05e0b90            0x1000a TYPE_WINDOW             0       468    320
0xfffff900c00dfa60            0x1000b TYPE_CURSOR             0     -------- 320
0xfffff900c05e0d90            0x1000c TYPE_WINDOW             0       468    320
0xfffff900c00e04f0            0x1000d TYPE_CURSOR             0     -------- 320
0xfffff900c05e0fa0            0x1000e TYPE_WINDOW             0       468    320
0xfffff900c00e03c0            0x1000f TYPE_CURSOR             0     -------- 320
0xfffff900c0600b90            0x10010 TYPE_WINDOW             0       468    320
0xfffff900c00e1b90            0x10011 TYPE_CURSOR             0     -------- 320
0xfffff900c0600d90            0x10012 TYPE_WINDOW             0       468    320
0xfffff900c00e1710            0x10013 TYPE_CURSOR             0     -------- 320
0xfffff900c0600fa0            0x10014 TYPE_WINDOW             0       468    320
0xfffff900c00e2010            0x10015 TYPE_CURSOR             0     -------- 320
0xfffff900c01c0d90            0x10016 TYPE_WINDOW             64      512    320
0xfffff900c00e2c20            0x10017 TYPE_CURSOR             0     -------- 320
0xfffff900c1c00b90            0x10018 TYPE_WINDOW             0       512    320
0xfffff900c00e2830            0x10019 TYPE_CURSOR             0     -------- 320
0xfffff900c1c00d90            0x1001a TYPE_WINDOW             0       512    320
0xfffff900c00e2440            0x1001b TYPE_CURSOR             0     -------- 320
0xfffff900c1cc0b90            0x1001c TYPE_WINDOW             0       512    320
0xfffff900c00e3010            0x1001d TYPE_CURSOR             0     -------- 320
0xfffff900c1cc0d90            0x1001e TYPE_WINDOW             0       512    320
0xfffff900c00e3c20            0x1001f TYPE_CURSOR             0     -------- 320
0xfffff900c1e00b90            0x10020 TYPE_WINDOW             0       512    320
0xfffff900c00e3830            0x10021 TYPE_CURSOR             0     -------- 320
0xfffff900c1e00d90            0x10022 TYPE_WINDOW             0       512    320
0xfffff900c00e3790            0x10023 TYPE_CURSOR             0     -------- 320
0xfffff900c1c014b0            0x10024 TYPE_WINDOW             0       968    852
0xfffff900c00e31e0            0x10025 TYPE_CURSOR             0     -------- 320
0xfffff900c1c01970            0x10026 TYPE_WINDOW             0       972    376
0xfffff900c00e54e0            0x10027 TYPE_CURSOR             0     -------- 320
0xfffff900c1e013b0            0x10028 TYPE_WINDOW             0       272    816
0xfffff900c00e5260            0x10029 TYPE_CURSOR             0     -------- 320
0xfffff900c1cc1080            0x2002a TYPE_INPUTCONTEXT       0       1048   1044
0xfffff900c00e66f0            0x1002b TYPE_CURSOR             0     -------- 320
0xfffff900c06020a0            0x2002c TYPE_WINDOW             0       1400   1208
0xfffff900c00e86f0            0x1002d TYPE_CURSOR             0     -------- 320
0xfffff900c1c01ca0            0x1002e TYPE_INPUTCONTEXT       0       868    852
0xfffff900c00e8470            0x1002f TYPE_CURSOR             0     -------- 320
0xfffff900c00ea8d0            0x10031 TYPE_CURSOR             0     -------- 320
0xfffff900c1c01d80            0x10032 TYPE_INPUTCONTEXT       0       1120   876
0xfffff900c00ea650            0x10033 TYPE_CURSOR             0     -------- 320
0xfffff900c1e01c30            0x90034 TYPE_INPUTCONTEXT       0       1692   472
0xfffff900c00e1b00            0x10035 TYPE_KBDFILE            0     -------- -
0xfffff900c1cc11d0            0xa0036 TYPE_INPUTCONTEXT       0       1076   1856
0xfffff900c01ab650            0x10037 TYPE_KBDLAYOUT          0     -------- -
0xfffff900c0602050            0x20038 TYPE_INPUTCONTEXT       0       1400   1208
0xfffff900c01402a0            0x30039 TYPE_CURSOR             0     -------- 320
0xfffff900c06012a0            0x1003a TYPE_INPUTCONTEXT       0       1212   1208
0xfffff900c01e69f0            0x1003b TYPE_CURSOR             0     -------- 320
0xfffff900c1e01ae0            0x1003c TYPE_INPUTCONTEXT       0       1252   1248
0xfffff900c01352d0            0x1003d TYPE_CURSOR             0     -------- 320
0xfffff900c06017f0            0x4003e TYPE_WINDOW             0       920    1208
0xfffff900c01bf590            0x1003f TYPE_CURSOR             0     -------- 320
0xfffff900c1e01b50            0x10040 TYPE_INPUTCONTEXT       0       1376   1372
0xfffff900c018c260            0x10041 TYPE_CURSOR             0     -------- 320
0xfffff900c1e01bc0            0x10042 TYPE_INPUTCONTEXT       0       1368   1248
0xfffff900c0146d40            0x10043 TYPE_CURSOR             0     -------- 320
0xfffff900c0601c20            0x40044 TYPE_INPUTCONTEXT       0       1296   1208
0xfffff900c0148ec0            0x10045 TYPE_CURSOR             0     -------- 320
0xfffff900c1e01ca0            0x20046 TYPE_INPUTCONTEXT       0       1432   1416
0xfffff900c01483f0            0x10047 TYPE_CURSOR             0     -------- 320
0xfffff900c014a010            0x10049 TYPE_CURSOR             0     -------- 320
0xfffff900c1cc1010            0x2004a TYPE_INPUTCONTEXT       0       1168   1508
0xfffff900c014acc0            0x1004b TYPE_CURSOR             0     -------- 320
0xfffff900c0601680            0x3004c TYPE_WINDOW             0       920    1208
0xfffff900c013ff70            0x1004d TYPE_CURSOR             0     -------- 320
0xfffff900c01c4e80            0x1004f TYPE_CURSOR             0     -------- 320
0xfffff900c1e015b0            0x20050 TYPE_INPUTCONTEXT       0       1680   472
0xfffff900c0192a40            0x10051 TYPE_CURSOR             0     -------- 320
0xfffff900c1cc10f0            0x30052 TYPE_INPUTCONTEXT       0       1848   1856
0xfffff900c0192470            0x10053 TYPE_CURSOR             0     -------- 320
0xfffff900c1cc1160            0x20054 TYPE_INPUTCONTEXT       0       1828   1856
0xfffff900c0194c20            0x10055 TYPE_CURSOR             0     -------- 320
0xfffff900c1e01760            0x10056 TYPE_INPUTCONTEXT       0       1760   472
0xfffff900c0194650            0x10057 TYPE_CURSOR             0     -------- 320
0xfffff900c01943d0            0x10059 TYPE_CURSOR             0     -------- 320
0xfffff900c1cc14b0            0x5005a TYPE_WINDOW             0       1076   1856
0xfffff900c01967e0            0x1005b TYPE_CURSOR             0     -------- 320
0xfffff900c1acda00            0x2005c TYPE_TIMER              0     -------- 1856
0xfffff900c0196740            0xa005d TYPE_CURSOR             0     -------- 320
0xfffff900c019c540            0x1005f TYPE_CURSOR             0     -------- 320
0xfffff900c019c2c0            0x10061 TYPE_CURSOR             0     -------- 320
0xfffff900c0601310            0x30062 TYPE_INPUTCONTEXT       0       1244   1208
0xfffff900c019e6f0            0x10063 TYPE_CURSOR             0     -------- 320
0xfffff900c0601de0            0x20064 TYPE_WINDOW             0       1296   1208
0xfffff900c019e470            0x10065 TYPE_CURSOR             0     -------- 320
0xfffff900c01a08d0            0x10067 TYPE_CURSOR             0     -------- 320
0xfffff900c0601c70            0x20068 TYPE_WINDOW             0       1296   1208
0xfffff900c01a0300            0x10069 TYPE_CURSOR             0     -------- 320
0xfffff900c01a0260            0x1006b TYPE_CURSOR             0     -------- 320
0xfffff900c1c02620            0x1006c TYPE_INPUTCONTEXT       0       1896   876
0xfffff900c01a2510            0x1006d TYPE_CURSOR             0     -------- 320
0xfffff900c1c02760            0x2006e TYPE_INPUTCONTEXT       0       1472   876
0xfffff900c01a2290            0x1006f TYPE_CURSOR             0     -------- 320
0xfffff900c01a46f0            0x10071 TYPE_CURSOR             0     -------- 320
