Volatility Foundation Volatility Framework 2.6
**************************************************
SharedInfo: 0xfffff960003be520, SessionId: 0 Shared delta: 0
aheList: 0xfffff900c0400000, Table size: 0x2000, Entry size: 0x18

Object(V)                      Handle bType                 Flags    Thread  Process
0xfffff900c0601560            0x30072 TYPE_INPUTCONTEXT       0       920    1208
0xfffff900c01a4470            0x10073 TYPE_CURSOR             0     -------- 320
0xfffff900c01a68d0            0x10075 TYPE_CURSOR             0     -------- 320
0xfffff900c01a6300            0x10077 TYPE_CURSOR             0     -------- 320
0xfffff900c01a6260            0x10079 TYPE_CURSOR             0     -------- 320
0xfffff900c01a8510            0x1007b TYPE_CURSOR             0     -------- 320
0xfffff900c01a8290            0x1007d TYPE_CURSOR             0     -------- 320
0xfffff900c01aa6f0            0x1007f TYPE_CURSOR             0     -------- 320
0xfffff900c1c02bc0            0x10080 TYPE_INPUTCONTEXT       0       412    480
0xfffff900c06011d0            0x70081 TYPE_HOOK               0       428    424
0xfffff900c1cc1660            0x20082 TYPE_INPUTCONTEXT       0       952    1856
0xfffff900c00e08e0            0x10083 TYPE_TIMER              0     -------- 320
0xfffff900c1cc17a0            0x10084 TYPE_WINDOW             0       952    1856
0xfffff900c1c00fc0            0x30085 TYPE_INPUTCONTEXT       0       632    588
0xfffff900c1abca40            0x10086 TYPE_ACCELTABLE         0     -------- 1856
0xfffff900c1c02b30            0x30087 TYPE_INPUTCONTEXT       0       2356   852
0xfffff900c1cc1910            0x10088 TYPE_INPUTCONTEXT       0       1756   1856
0xfffff900c1c010a0            0x10089 TYPE_INPUTCONTEXT       0       656    652
0xfffff900c1cc1a40            0x1008a TYPE_WINDOW             0       1076   1856
0xfffff900c1cc0fa0            0x1008b TYPE_INPUTCONTEXT       0       748    720
0xfffff900c1ac7340            0x1008c TYPE_TIMER              0     -------- 1856
0xfffff900c1e00fa0            0x1008d TYPE_INPUTCONTEXT       0       820    816
0xfffff900c1c011f0            0x2008f TYPE_INPUTCONTEXT       0       968    852
0xfffff900c1e01080            0x10091 TYPE_INPUTCONTEXT       0       844    816
0xfffff900c1c01110            0x10093 TYPE_INPUTCONTEXT       0       856    852
0xfffff900c1c01180            0x10095 TYPE_INPUTCONTEXT       0       880    876
0xfffff900c1c02da0            0xa0096 TYPE_WINDOW             0       2444   852
0xfffff900c1c01640            0x30097 TYPE_INPUTCONTEXT       0       964    852
0xfffff900c1c016b0            0x10099 TYPE_INPUTCONTEXT       0       972    376
0xfffff900c1e01690            0x6009b TYPE_INPUTCONTEXT       0       2068   2064
0xfffff900c1e010f0            0x1009d TYPE_INPUTCONTEXT       0       272    816
0xfffff900c1c02cd0            0x9009f TYPE_INPUTCONTEXT       0       1964   876
0xfffff900c1c01ae0            0x100a1 TYPE_INPUTCONTEXT       0       336    852
0xfffff900c1c01b50            0x100a3 TYPE_INPUTCONTEXT       0       304    876
0xfffff900c1ec0b90            0x100a4 TYPE_WINDOW             0       512    320
0xfffff900c1c01bc0            0x100a5 TYPE_INPUTCONTEXT       0       316    852
0xfffff900c1ec0d90            0x100a6 TYPE_WINDOW             0       512    320
0xfffff900c1e02100            0x600a7 TYPE_INPUTCONTEXT       0       1304   2064
0xfffff900c1e01540            0x100a9 TYPE_INPUTCONTEXT       0       560    472
0xfffff900c1e01600            0x800ab TYPE_INPUTCONTEXT       0       2620   472
0xfffff900c1cc1f80            0x600ad TYPE_INPUTCONTEXT       0       2432   1856
0xfffff900c1c025b0            0x200af TYPE_INPUTCONTEXT       0       1976   948
0xfffff900c1c02050            0x400b1 TYPE_INPUTCONTEXT       0       2440   852
0xfffff900c1e01dd0            0x300b3 TYPE_INPUTCONTEXT       0       2292   816
0xfffff900c1ec0fa0            0x700b5 TYPE_INPUTCONTEXT       0       3068   1720
0xfffff900c1c01030            0x300b7 TYPE_INPUTCONTEXT       0       2032   876
0xfffff900c1c01c10            0x500b9 TYPE_INPUTCONTEXT       0       1980   876
0xfffff900c1e021c0            0x500bd TYPE_INPUTCONTEXT       0       2532   472
0xfffff900c1c01f90            0x300bf TYPE_INPUTCONTEXT       0       1708   876
0xfffff900c1cc1d20            0x500c1 TYPE_INPUTCONTEXT       0       2132   1856
0xfffff900c1e017b0           0x1900c3 TYPE_INPUTCONTEXT       0       828    2660
0xfffff900c1e01ef0            0x500c5 TYPE_INPUTCONTEXT       0       2624   2064
0xfffff900c1c027b0            0x500c7 TYPE_INPUTCONTEXT       0       2520   876
0xfffff900c1e018b0            0x600cb TYPE_INPUTCONTEXT       0       2252   472
0xfffff900c1c02000            0x300cd TYPE_INPUTCONTEXT       0       2460   852
0xfffff900c1c01ed0            0xd00cf TYPE_INPUTCONTEXT       0       1156   2868
0xfffff900c1c01df0            0x400d1 TYPE_INPUTCONTEXT       0       2284   852
0xfffff900c1c029b0            0x100d3 TYPE_INPUTCONTEXT       0       1668   852
0xfffff900c1e02170            0x200d5 TYPE_INPUTCONTEXT       0       1868   2064
0xfffff900c1c020a0            0x100d7 TYPE_INPUTCONTEXT       0       2444   852
0xfffff900c1c01f20            0x100d9 TYPE_HOOK               0       2824   2868
0xfffff900c1c021c0            0x100db TYPE_HOOK               0       2268   2868
0xfffff900c1c02250            0x100dd TYPE_HOOK               0       1820   2868
0xfffff900c1c022e0            0x100df TYPE_HOOK               0       1136   2868
0xfffff900c1c02370            0x100e1 TYPE_HOOK               0       2720   2868
0xfffff900c1c02400            0x300e3 TYPE_HOOK               0       2612   2868
**************************************************
SharedInfo: 0xfffff960003be520, SessionId: 1 Shared delta: 0
aheList: 0xfffff900c0400000, Table size: 0x4000, Entry size: 0x18

Object(V)                      Handle bType                 Flags    Thread  Process
------------------ ------------------ -------------------- -------- -------- -------
0xfffff900c05824b0            0x10001 TYPE_MONITOR            0     -------- -
0xfffff900c0146dc0            0x10002 TYPE_WINDOW             64      464    368
0xfffff900c00bf5a0            0x10003 TYPE_CURSOR             0     -------- 368
0xfffff900c05c0b90            0x10004 TYPE_WINDOW             0       464    368
0xfffff900c00d9a40            0x10005 TYPE_CURSOR             0     -------- 368
0xfffff900c05c0e60            0x10006 TYPE_WINDOW             0       464    368
0xfffff900c00d95c0            0x10007 TYPE_CURSOR             0     -------- 368
0xfffff900c05c1070            0x10008 TYPE_WINDOW             0       464    368
0xfffff900c00d9490            0x10009 TYPE_CURSOR             0     -------- 368
0xfffff900c03e0b90            0x1000a TYPE_WINDOW             0       464    368
0xfffff900c00d9360            0x1000b TYPE_CURSOR             0     -------- 368
0xfffff900c03e0d90            0x1000c TYPE_WINDOW             0       464    368
0xfffff900c00e58d0            0x1000d TYPE_CURSOR             0     -------- 368
0xfffff900c03e0fa0            0x1000e TYPE_WINDOW             0       464    368
0xfffff900c00e5450            0x1000f TYPE_CURSOR             0     -------- 368
0xfffff900c0600b90            0x10010 TYPE_WINDOW             0       464    368
0xfffff900c00e6f70            0x10011 TYPE_CURSOR             0     -------- 368
0xfffff900c0600d90            0x10012 TYPE_WINDOW             0       464    368
0xfffff900c00e6af0            0x10013 TYPE_CURSOR             0     -------- 368
0xfffff900c0600fa0            0x10014 TYPE_WINDOW             0       464    368
0xfffff900c00e6700            0x10015 TYPE_CURSOR             0     -------- 368
0xfffff900c0611fd0            0x20016 TYPE_WINDOW             0       2204   604
0xfffff900c00e7010            0x10017 TYPE_CURSOR             0     -------- 368
0xfffff900c0612110            0x20018 TYPE_WINDOW             0       2204   604
0xfffff900c00e7c20            0x10019 TYPE_CURSOR             0     -------- 368
0xfffff900c0612300            0x2001a TYPE_WINDOW             0       2216   604
0xfffff900c00e7830            0x1001b TYPE_CURSOR             0     -------- 368
0xfffff900c0610c80            0x2001c TYPE_WINDOW             0       2204   604
0xfffff900c00e7440            0x1001d TYPE_CURSOR             0     -------- 368
0xfffff900c0612720            0x2001e TYPE_WINDOW             0       2220   604
0xfffff900c00e8010            0x1001f TYPE_CURSOR             0     -------- 368
0xfffff900c0612870            0x20020 TYPE_WINDOW             0       2220   604
0xfffff900c00e8c20            0x10021 TYPE_CURSOR             0     -------- 368
0xfffff900c0612db0            0x30022 TYPE_WINDOW             0       2216   604
0xfffff900c00e8b80            0x10023 TYPE_CURSOR             0     -------- 368
0xfffff900c06124d0            0x20024 TYPE_WINDOW             0       2220   604
0xfffff900c00eab30            0x10025 TYPE_CURSOR             0     -------- 368
0xfffff900c0612b30            0x20026 TYPE_WINDOW             0       2224   604
0xfffff900c00ea260            0x10027 TYPE_CURSOR             0     -------- 368
0xfffff900c0601510            0x20028 TYPE_WINDOW             0       596    296
0xfffff900c00ed6f0            0x10029 TYPE_CURSOR             0     -------- 368
0xfffff900c0601690            0x2002a TYPE_WINDOW             0       596    296
0xfffff900c00ed470            0x1002b TYPE_CURSOR             0     -------- 368
0xfffff900c1b8f620            0x1002c TYPE_CURSOR             0     -------- 368
0xfffff900c00ef8d0            0x1002d TYPE_CURSOR             0     -------- 368
0xfffff900c1bb4260            0x1002e TYPE_CURSOR             0     -------- 368
0xfffff900c00ef300            0x1002f TYPE_CURSOR             0     -------- 368
0xfffff900c1f79980            0x10030 TYPE_CURSOR             0     -------- 368
0xfffff900c00ef260            0x10031 TYPE_CURSOR             0     -------- 368
0xfffff900c1f752c0            0x10032 TYPE_CURSOR             0     -------- 368
0xfffff900c00f1860            0x10033 TYPE_CURSOR             0     -------- 368
0xfffff900c2048780            0x10034 TYPE_CURSOR             0     -------- 368
0xfffff900c00e6ee0            0x10035 TYPE_KBDFILE            0     -------- -
0xfffff900c2069480            0x10036 TYPE_CURSOR             0     -------- 368
0xfffff900c014ed60            0x10037 TYPE_KBDLAYOUT          0     -------- -
0xfffff900c2080480            0x10038 TYPE_CURSOR             0     -------- 368
0xfffff900c1c8a4d0           0x130039 TYPE_DEVICEINFO         0     -------- -
0xfffff900c2158960            0x1003a TYPE_CURSOR             0     -------- 368
0xfffff900c1b3ee80            0x1003c TYPE_CURSOR             0     -------- 368
0xfffff900c1a30380            0xc003d TYPE_CURSOR             0     -------- 604
0xfffff900c1b81d90            0x1003e TYPE_CURSOR             0     -------- 368
0xfffff900c1b82d90            0x10040 TYPE_CURSOR             0     -------- 368
0xfffff900c0628040            0xd0041 TYPE_MENU               0     -------- 2260
0xfffff900c1b83d90            0x10042 TYPE_CURSOR             0     -------- 368
0xfffff900c01d5300            0x20043 TYPE_TIMER              0     -------- 368
0xfffff900c1b92630            0x10044 TYPE_CURSOR             0     -------- 368
0xfffff900c21dec00            0x40045 TYPE_CURSOR             0     -------- 368
0xfffff900c0601bd0            0x30046 TYPE_WINDOW             0       1620   296
0xfffff900c2190f70            0x20047 TYPE_CURSOR             0     -------- 368
0xfffff900c0601d00            0x10048 TYPE_WINDOW             0       1620   296
0xfffff900c20e95b0            0x20049 TYPE_CURSOR             0     -------- 368
0xfffff900c06020a0            0x1004a TYPE_WINDOW             0       976    296
0xfffff900c209c620            0x2004b TYPE_CURSOR             0     -------- 368
0xfffff900c0602230            0x1004c TYPE_WINDOW             0       976    296
0xfffff900c208b270            0x2004d TYPE_CURSOR             0     -------- 368
0xfffff900c06024a0            0x1004e TYPE_WINDOW             0       976    296
0xfffff900c1ffb490            0x2004f TYPE_CURSOR             0     -------- 368
0xfffff900c0602930            0x10050 TYPE_WINDOW             0       864    604
0xfffff900c1fdb680            0x20051 TYPE_CURSOR             0     -------- 368
0xfffff900c0602ab0            0x10052 TYPE_WINDOW             0       864    604
0xfffff900c1fd73e0            0x20053 TYPE_CURSOR             0     -------- 368
0xfffff900c0602ec0            0x10054 TYPE_WINDOW             0       864    604
0xfffff900c01d5bf0            0x20055 TYPE_CURSOR             0     -------- 368
0xfffff900c0603110            0x10056 TYPE_WINDOW             0       864    604
0xfffff900c01d4bf0            0x20057 TYPE_CURSOR             0     -------- 368
0xfffff900c0603530            0x10058 TYPE_WINDOW             0       1816   1988
0xfffff900c014cd00            0x20059 TYPE_CURSOR             0     -------- 368
0xfffff900c06038d0            0x2005a TYPE_WINDOW             0       864    604
0xfffff900c1f9a6f0            0x2005b TYPE_CURSOR             0     -------- 368
0xfffff900c0603aa0            0x1005c TYPE_WINDOW             0       1952   604
0xfffff900c1fb12c0            0x2005d TYPE_CURSOR             0     -------- 368
0xfffff900c0603d20            0x1005e TYPE_WINDOW             0       1952   604
0xfffff900c1bbcf70            0x2005f TYPE_CURSOR             0     -------- 368
0xfffff900c0603ec0            0x10060 TYPE_WINDOW             0       1952   604
0xfffff900c01d5580            0x20061 TYPE_CURSOR             0     -------- 368
0xfffff900c0604190            0x10062 TYPE_WINDOW             0       1952   604
0xfffff900c01513f0            0x20063 TYPE_CURSOR             0     -------- 368
0xfffff900c0604320            0x10064 TYPE_WINDOW             0       1952   604
0xfffff900c01d99f0            0x20065 TYPE_CURSOR             0     -------- 368
0xfffff900c0604620            0x10066 TYPE_WINDOW             0       1952   604
0xfffff900c01fa9f0            0xa0067 TYPE_CURSOR             0     -------- 368
0xfffff900c0604ac0            0x10068 TYPE_WINDOW             0       1952   604
0xfffff900c1ac49f0           0x100069 TYPE_CURSOR             0     -------- 604
0xfffff900c0604c00            0x1006a TYPE_WINDOW             0       1952   604
0xfffff900c1bec400            0x3006b TYPE_TIMER              0     -------- 604
0xfffff900c0604d60            0x1006c TYPE_WINDOW             0       1952   604
0xfffff900c1a53140            0x6006d TYPE_CURSOR             0     -------- 604
0xfffff900c0604fa0            0x1006e TYPE_WINDOW             0       1952   604
0xfffff900c0607290            0x2006f TYPE_INPUTCONTEXT       0       1476   604
0xfffff900c0605250            0x10070 TYPE_WINDOW             0       1952   604
0xfffff900c00d92d0            0x30071 TYPE_TIMER              0     -------- 604
0xfffff900c0605480            0x10072 TYPE_WINDOW             0       1952   604
0xfffff900c1abeb60            0x20073 TYPE_WINEVENTHOOK       0       1952   604
0xfffff900c06056a0            0x10074 TYPE_WINDOW             0       1952   604
0xfffff900c1e485d0            0x70075 TYPE_CURSOR             0     -------- 604
0xfffff900c0605860            0x10076 TYPE_WINDOW             0       1952   604
0xfffff900c01b1480            0x20077 TYPE_CURSOR             0     -------- 604
0xfffff900c0605a80            0x10078 TYPE_WINDOW             0       1952   604
0xfffff900c0604060            0x20079 TYPE_INPUTCONTEXT       0       1260   604
0xfffff900c0605ca0            0x1007a TYPE_WINDOW             0       1952   604
0xfffff900c1b76470            0x2007b TYPE_DDEACCESS          0       864    604
0xfffff900c0605e80            0x1007c TYPE_WINDOW             0       1952   604
0xfffff900c0602670            0x2007d TYPE_INPUTCONTEXT       0       1816   1988
0xfffff900c0606040            0x1007e TYPE_WINDOW             0       1952   604
0xfffff900c01b38d0            0x2007f TYPE_CURSOR             0     -------- 296
0xfffff900c0606200            0x10080 TYPE_WINDOW             0       1952   604
0xfffff900c0602050            0x20081 TYPE_INPUTCONTEXT       0       976    296
0xfffff900c06063a0            0x10082 TYPE_WINDOW             0       1952   604
0xfffff900c01b3300            0x20083 TYPE_CURSOR             0     -------- 296
0xfffff900c0606510            0x10084 TYPE_WINDOW             0       1952   604
0xfffff900c0624c40           0x200085 TYPE_HOOK               0       2420   2424
0xfffff900c0606680            0x10086 TYPE_WINDOW             0       1952   604
0xfffff900c0601ad0            0x30087 TYPE_INPUTCONTEXT       0       1620   296
0xfffff900c06067f0            0x10088 TYPE_WINDOW             0       1952   604
0xfffff900c0601ea0            0x30089 TYPE_INPUTCONTEXT       0       864    604
0xfffff900c0606960            0x1008a TYPE_WINDOW             0       1952   604
0xfffff900c06019d0            0x8008b TYPE_INPUTCONTEXT       0       2204   604
0xfffff900c0606db0            0x1008c TYPE_WINDOW             0       1952   604
0xfffff900c0612480            0xb008d TYPE_INPUTCONTEXT       0       2220   604
0xfffff900c0606fd0            0x1008e TYPE_WINDOW             0       1952   604
0xfffff900c1a91510            0x1008f TYPE_TIMER              0     -------- 368
0xfffff900c0607150            0x10090 TYPE_WINDOW             0       1952   604
0xfffff900c1f7c2e0            0x20091 TYPE_CURSOR             0     -------- 604
0xfffff900c06072e0            0x10092 TYPE_WINDOW             0       1476   604
0xfffff900c1aa6050            0x10093 TYPE_TIMER              0     -------- 368
0xfffff900c0607480            0x10094 TYPE_WINDOW             0       1476   604
0xfffff900c1b40780            0x90095 TYPE_CURSOR             0     -------- 368
0xfffff900c0607680            0x10096 TYPE_WINDOW             0       1952   604
0xfffff900c06122b0            0x60097 TYPE_INPUTCONTEXT       0       2216   604
0xfffff900c0607870            0x10098 TYPE_WINDOW             0       1952   604
0xfffff900c06011d0           0x190099 TYPE_INPUTCONTEXT       0       1748   296
0xfffff900c06079b0            0x1009a TYPE_WINDOW             0       1952   604
0xfffff900c01416b0            0x5009b TYPE_WINEVENTHOOK       0       2228   604
0xfffff900c0607d00            0x1009c TYPE_WINDOW             0       1952   604
0xfffff900c0603a50            0x8009d TYPE_INPUTCONTEXT       0       1952   604
0xfffff900c0607fd0            0x5009e TYPE_WINDOW             0       1952   604
0xfffff900c1a9bbe0            0x9009f TYPE_CURSOR             0     -------- 604
0xfffff900c0608b00            0x500a0 TYPE_WINDOW             0       1952   604
0xfffff900c0601240            0x300a1 TYPE_INPUTCONTEXT       0       596    296
0xfffff900c0609170            0x500a2 TYPE_WINDOW             0       1952   604
0xfffff900c1ab8c00            0x100a3 TYPE_CURSOR             0     -------- 368
0xfffff900c0608d20            0x500a4 TYPE_WINDOW             0       1952   604
0xfffff900c00c54f0            0x100a5 TYPE_CURSOR             0     -------- 368
0xfffff900c0608ee0            0x500a6 TYPE_WINDOW             0       1952   604
0xfffff900c1b59350            0x100a7 TYPE_CURSOR             0     -------- 368
0xfffff900c0627a30            0x400a8 TYPE_WINDOW             0       1952   604
0xfffff900c1b6ba70            0x100a9 TYPE_CURSOR             0     -------- 368
0xfffff900c060b6c0            0x400aa TYPE_WINDOW             0       1952   604
0xfffff900c060c500            0x900ab TYPE_INPUTCONTEXT       0       2244   604
0xfffff900c06366d0            0x200ac TYPE_WINDOW             0       1192   604
0xfffff900c1ab8380            0x500ad TYPE_CURSOR             0     -------- 604
0xfffff900c060c340            0x400ae TYPE_WINDOW             0       1952   604
0xfffff900c01ab260            0x400af TYPE_CURSOR             0     -------- 604
0xfffff900c062a7e0            0x400b0 TYPE_WINDOW             0       1952   604
0xfffff900c01b71e0            0x600b1 TYPE_TIMER              0     -------- 604
0xfffff900c060c0c0            0x300b2 TYPE_WINDOW             0       1952   604
0xfffff900c1fcff80            0x200b3 TYPE_TIMER              0     -------- 604
0xfffff900c060cde0            0x400b4 TYPE_WINDOW             0       2212   604
0xfffff900c060c200            0x300b6 TYPE_WINDOW             0       1952   604
0xfffff900c1e98bf0            0xb00b7 TYPE_CURSOR             0     -------- 2424
0xfffff900c062a920            0x300b8 TYPE_WINDOW             0       1952   604
0xfffff900c0609950            0x300ba TYPE_WINDOW             0       1952   604
0xfffff900c0608e60            0x300bb TYPE_INPUTCONTEXT       0       896    1844
0xfffff900c0636590            0x300bc TYPE_WINDOW             0       1952   604
0xfffff900c060bc50            0x100bd TYPE_CALLPROC           0     -------- 604
0xfffff900c060a9a0            0x300be TYPE_WINDOW             0       1952   604
0xfffff900c1b98630            0x100bf TYPE_CURSOR             0     -------- 604
0xfffff900c0636820            0x300c0 TYPE_WINDOW             0       1852   604
0xfffff900c219a2b0            0x100c1 TYPE_CURSOR             0     -------- 604
0xfffff900c060b080            0x300c2 TYPE_WINDOW             0       1952   604
0xfffff900c1b5c6f0            0x100c3 TYPE_CURSOR             0     -------- 604
0xfffff900c062c5b0            0x300c4 TYPE_WINDOW             0       1952   604
0xfffff900c1ba38c0            0x100c5 TYPE_CURSOR             0     -------- 604
0xfffff900c0621570            0x400c6 TYPE_WINDOW             0       1952   604
0xfffff900c0610b80            0x300c7 TYPE_INPUTCONTEXT       0       1852   604
0xfffff900c062c470            0x400c8 TYPE_WINDOW             0       1952   604
0xfffff900c060f5e0            0xc00c9 TYPE_INPUTCONTEXT       0       2084   1844
