#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: MemLabs Lab 1
# Investigation Date: 2022-01-16-0854:41
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.111
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-08-0433:36	 Last Accessed: 2022-01-08-0433:36	 Last Modified: 2021-02-28-2153:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw
# File Name: MemoryDump_Lab1.raw	 File Size: 1.07 GBs	 Creation Date: 2022-01-16-0853:49	 Last Accessed: 2022-01-16-0853:50	 Last Modified: 2019-12-11-0838:17	 
# MD5: b9fec1a443907d870cb32b048bda9380	 SHA-256: 88e708413898c98351d1a5a221799fc34460dfecb20e482ca5247b0b113b8cf2	 
#
# Plugin Details
# ======================
# Plugin Name: ldrmodules
# Plugin Description: Detect unlinked DLLs
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw" ldrmodules --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000077c90000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x0000000077e70000 False  False  False \Windows\SysWOW64\ntdll.dll
     248 smss.exe             0x0000000047ef0000 True   False  True  \Windows\System32\smss.exe
     248 smss.exe             0x0000000077c90000 True   True   True  \Windows\System32\ntdll.dll
     320 csrss.exe            0x0000000000130000 False  False  False \Windows\Fonts\vgasys.fon
     320 csrss.exe            0x0000000000e20000 False  False  False \Windows\Fonts\cga40woa.fon
     320 csrss.exe            0x0000000077b90000 True   True   True  \Windows\System32\user32.dll
     320 csrss.exe            0x000007fefd820000 True   True   True  \Windows\System32\sxs.dll
     320 csrss.exe            0x000007fefe710000 True   True   True  \Windows\System32\lpk.dll
     320 csrss.exe            0x000007fefe390000 True   True   True  \Windows\System32\advapi32.dll
     320 csrss.exe            0x000000004a620000 True   False  True  \Windows\System32\csrss.exe
     320 csrss.exe            0x000007fefe7b0000 True   True   True  \Windows\System32\msvcrt.dll
     320 csrss.exe            0x0000000000e10000 False  False  False \Windows\Fonts\dosapp.fon
     320 csrss.exe            0x0000000077a70000 True   True   True  \Windows\System32\kernel32.dll
     320 csrss.exe            0x000007fefd810000 True   True   True  \Windows\System32\cryptbase.dll
     320 csrss.exe            0x000007fefe720000 True   True   True  \Windows\System32\sechost.dll
     320 csrss.exe            0x000007fefe850000 True   True   True  \Windows\System32\usp10.dll
     320 csrss.exe            0x000007fefdcb0000 True   True   True  \Windows\System32\KernelBase.dll
     320 csrss.exe            0x000007fefe740000 True   True   True  \Windows\System32\gdi32.dll
     320 csrss.exe            0x0000000000e00000 False  False  False \Windows\Fonts\vgaoem.fon
     320 csrss.exe            0x0000000000e30000 False  False  False \Windows\Fonts\cga80woa.fon
     320 csrss.exe            0x0000000000e40000 False  False  False \Windows\Fonts\ega40woa.fon
     320 csrss.exe            0x0000000077c90000 True   True   True  \Windows\System32\ntdll.dll
     320 csrss.exe            0x000007fefdfb0000 True   True   True  \Windows\System32\rpcrt4.dll
     320 csrss.exe            0x000007fefdc40000 True   True   True  \Windows\System32\basesrv.dll
     320 csrss.exe            0x000007fefdc00000 True   True   True  \Windows\System32\winsrv.dll
     320 csrss.exe            0x000007fefdc60000 True   True   True  \Windows\System32\csrsrv.dll
     320 csrss.exe            0x000007fefdbf0000 True   True   True  \Windows\System32\sxssrv.dll
     368 csrss.exe            0x00000000002a0000 False  False  False \Windows\Fonts\vgasys.fon
     368 csrss.exe            0x0000000000a30000 False  False  False \Windows\Fonts\vgaoem.fon
     368 csrss.exe            0x0000000077b90000 True   True   True  \Windows\System32\user32.dll
     368 csrss.exe            0x000007fefd810000 True   True   True  \Windows\System32\cryptbase.dll
     368 csrss.exe            0x000007fefe710000 True   True   True  \Windows\System32\lpk.dll
     368 csrss.exe            0x000000004a620000 True   False  True  \Windows\System32\csrss.exe
     368 csrss.exe            0x000007fefe7b0000 True   True   True  \Windows\System32\msvcrt.dll
     368 csrss.exe            0x0000000077a70000 True   True   True  \Windows\System32\kernel32.dll
     368 csrss.exe            0x0000000000a90000 False  False  False \Windows\Fonts\cga40woa.fon
     368 csrss.exe            0x000007fefdc40000 True   True   True  \Windows\System32\basesrv.dll
     368 csrss.exe            0x0000000000ab0000 False  False  False \Windows\Fonts\ega40woa.fon
     368 csrss.exe            0x000007fefe850000 True   True   True  \Windows\System32\usp10.dll
     368 csrss.exe            0x000007fefdcb0000 True   True   True  \Windows\System32\KernelBase.dll
     368 csrss.exe            0x000007fefe740000 True   True   True  \Windows\System32\gdi32.dll
     368 csrss.exe            0x0000000077c90000 True   True   True  \Windows\System32\ntdll.dll
     368 csrss.exe            0x0000000000a80000 False  False  False \Windows\Fonts\dosapp.fon
     368 csrss.exe            0x000007fefdfb0000 True   True   True  \Windows\System32\rpcrt4.dll
     368 csrss.exe            0x0000000000aa0000 False  False  False \Windows\Fonts\cga80woa.fon
     368 csrss.exe            0x000007fefd820000 True   True   True  \Windows\System32\sxs.dll
     368 csrss.exe            0x000007fefdc60000 True   True   True  \Windows\System32\csrsrv.dll
     368 csrss.exe            0x000007fefdc00000 True   True   True  \Windows\System32\winsrv.dll
     368 csrss.exe            0x000007fefdbf0000 True   True   True  \Windows\System32\sxssrv.dll
     376 psxss.exe            0x0000000049910000 True   False  True  \Windows\System32\psxss.exe
     376 psxss.exe            0x0000000000320000 False  False  False \Windows\System32\en-US\psxss.exe.mui
     376 psxss.exe            0x0000000077a70000 True   True   True  \Windows\System32\kernel32.dll
     376 psxss.exe            0x000007fefe0e0000 True   True   True  \Windows\System32\imm32.dll
     376 psxss.exe            0x000007fefdae0000 True   True   True  \Windows\System32\samlib.dll
     376 psxss.exe            0x000007fefdfb0000 True   True   True  \Windows\System32\rpcrt4.dll
     376 psxss.exe            0x000007fefcf10000 True   True   True  \Windows\System32\rsaenh.dll
     376 psxss.exe            0x000007fefd920000 True   True   True  \Windows\System32\slc.dll
     376 psxss.exe            0x000007fefdb30000 True   True   True  \Windows\System32\samcli.dll
     376 psxss.exe            0x000007fefd940000 True   True   True  \Windows\System32\IPHLPAPI.DLL
     376 psxss.exe            0x000007fefdb50000 True   True   True  \Windows\System32\wkscli.dll
     376 psxss.exe            0x000007fefdb70000 True   True   True  \Windows\System32\srvcli.dll
     376 psxss.exe            0x000007fefd980000 True   True   True  \Windows\System32\dbghelp.dll
     376 psxss.exe            0x000007fefe390000 True   True   True  \Windows\System32\advapi32.dll
     376 psxss.exe            0x000007feffda0000 True   True   True  \Windows\System32\ws2_32.dll
     376 psxss.exe            0x000007fefdbb0000 True   True   True  \Windows\System32\netapi32.dll
     376 psxss.exe            0x000007fefdbd0000 True   True   True  \Windows\System32\mpr.dll
     376 psxss.exe            0x000007fefdcb0000 True   True   True  \Windows\System32\KernelBase.dll
     376 psxss.exe            0x000007fefd810000 True   True   True  \Windows\System32\cryptbase.dll
     376 psxss.exe            0x000007fefd1e0000 True   True   True  \Windows\System32\cryptsp.dll
     376 psxss.exe            0x000007fefe850000 True   True   True  \Windows\System32\usp10.dll
     376 psxss.exe            0x000007fefebb0000 True   True   True  \Windows\System32\nsi.dll
     376 psxss.exe            0x000007fefe7b0000 True   True   True  \Windows\System32\msvcrt.dll
     376 psxss.exe            0x000007fefdb00000 True   True   True  \Windows\System32\logoncli.dll
     376 psxss.exe            0x000007fefe110000 True   True   True  \Windows\System32\Wldap32.dll
     376 psxss.exe            0x000007fefe720000 True   True   True  \Windows\System32\sechost.dll
     376 psxss.exe            0x000007fefd930000 True   True   True  \Windows\System32\winnsi.dll
     376 psxss.exe            0x000007fefe740000 True   True   True  \Windows\System32\gdi32.dll
     376 psxss.exe            0x000007fefd970000 True   True   True  \Windows\System32\wsock32.dll
     376 psxss.exe            0x0000000077b90000 True   True   True  \Windows\System32\user32.dll
     376 psxss.exe            0x000007fefdba0000 True   True   True  \Windows\System32\netutils.dll
     376 psxss.exe            0x000007fefebc0000 True   True   True  \Windows\System32\msctf.dll
     376 psxss.exe            0x000007fefe710000 True   True   True  \Windows\System32\lpk.dll
     376 psxss.exe            0x0000000077c90000 True   True   True  \Windows\System32\ntdll.dll
     376 psxss.exe            0x000007fefd2f0000 True   True   True  \Windows\System32\netjoin.dll
     376 psxss.exe            0x000007fefdac0000 True   True   True  \Windows\System32\userenv.dll
     376 psxss.exe            0x000007fefdab0000 True   True   True  \Windows\System32\profapi.dll
     416 winlogon.exe         0x0000000077a70000 True   True   True  \Windows\System32\kernel32.dll
     416 winlogon.exe         0x0000000077c90000 True   True   True  \Windows\System32\ntdll.dll
     416 winlogon.exe         0x000007fefd8c0000 True   True   True  \Windows\System32\RpcRtRemote.dll
     416 winlogon.exe         0x0000000077b90000 True   True   True  \Windows\System32\user32.dll
     416 winlogon.exe         0x000007fefe0e0000 True   True   True  \Windows\System32\imm32.dll
     416 winlogon.exe         0x000007fefdab0000 True   True   True  \Windows\System32\profapi.dll
     416 winlogon.exe         0x000007fefd2f0000 True   True   True  \Windows\System32\netjoin.dll
     416 winlogon.exe         0x000007fefcf10000 True   True   True  \Windows\System32\rsaenh.dll
     416 winlogon.exe         0x000007fefa920000 True   True   True  \Windows\System32\UXInit.dll
     416 winlogon.exe         0x000007fefe7b0000 True   True   True  \Windows\System32\msvcrt.dll
     416 winlogon.exe         0x000007fefdb50000 True   True   True  \Windows\System32\wkscli.dll
     416 winlogon.exe         0x000007fefe390000 True   True   True  \Windows\System32\advapi32.dll
     416 winlogon.exe         0x00000000ff9c0000 True   False  True  \Windows\System32\winlogon.exe
     416 winlogon.exe         0x000007fefe9a0000 True   True   True  \Windows\System32\ole32.dll
     416 winlogon.exe         0x000007fefdfb0000 True   True   True  \Windows\System32\rpcrt4.dll
     416 winlogon.exe         0x000007fefdbd0000 True   True   True  \Windows\System32\mpr.dll
     416 winlogon.exe         0x000007fefd1e0000 True   True   True  \Windows\System32\cryptsp.dll
     416 winlogon.exe         0x000007fefd920000 True   True   True  \Windows\System32\slc.dll
     416 winlogon.exe         0x000007fefe710000 True   True   True  \Windows\System32\lpk.dll
     416 winlogon.exe         0x000007fefafe0000 True   True   True  \Windows\System32\WindowsCodecs.dll
     416 winlogon.exe         0x000007fefbe40000 True   True   True  \Windows\System32\uxtheme.dll
     416 winlogon.exe         0x000007fefe850000 True   True   True  \Windows\System32\usp10.dll
     416 winlogon.exe         0x000007fefdcb0000 True   True   True  \Windows\System32\KernelBase.dll
     416 winlogon.exe         0x000007fefe720000 True   True   True  \Windows\System32\sechost.dll
     416 winlogon.exe         0x000007fefe740000 True   True   True  \Windows\System32\gdi32.dll
     416 winlogon.exe         0x000007fefd780000 True   True   True  \Windows\System32\sspicli.dll
     416 winlogon.exe         0x000007fefdba0000 True   True   True  \Windows\System32\netutils.dll
     416 winlogon.exe         0x000007fefebc0000 True   True   True  \Windows\System32\msctf.dll
