Volatility Foundation Volatility Framework 2.6
Module Base        Module Name          Result
------------------ -------------------- ------
0xfffff80002c09000 hal.dll              OK: driver.fffff80002c09000.sys
0xfffff88004b00000 raspppoe.sys         OK: driver.fffff88004b00000.sys
0xfffff80000bc2000 kdcom.dll            OK: driver.fffff80000bc2000.sys
0xfffff88004f41000 drmk.sys             OK: driver.fffff88004f41000.sys
0xfffff880024f7000 bowser.sys           OK: driver.fffff880024f7000.sys
0xfffff88004e22000 lltdio.sys           OK: driver.fffff88004e22000.sys
0xfffff88004ba6000 umbus.sys            OK: driver.fffff88004ba6000.sys
0xfffff88004b1b000 raspptp.sys          OK: driver.fffff88004b1b000.sys
0xfffff880015e4000 Msfs.SYS             OK: driver.fffff880015e4000.sys
0xfffff88001957000 mup.sys              OK: driver.fffff88001957000.sys
0xfffff88004ac5000 ndistapi.sys         OK: driver.fffff88004ac5000.sys
0xfffff880048a6000 csc.sys              OK: driver.fffff880048a6000.sys
0xfffff88000c00000 volmgrx.sys          OK: driver.fffff88000c00000.sys
0xfffff88004b61000 swenum.sys           OK: driver.fffff88004b61000.sys
0xfffff88004f94000 HIDCLASS.SYS         OK: driver.fffff88004f94000.sys
0xfffff880014e8000 ndis.sys             OK: driver.fffff880014e8000.sys
0xfffff880018c9000 volsnap.sys          OK: driver.fffff880018c9000.sys
0xfffff8800162a000 cdrom.sys            OK: driver.fffff8800162a000.sys
0xfffff8800148b000 vga.sys              OK: driver.fffff8800148b000.sys
0xfffff8800291a000 secdrv.SYS           OK: driver.fffff8800291a000.sys
0xfffff88002c6c000 wanarp.sys           OK: driver.fffff88002c6c000.sys
0xfffff88004e00000 Dxapi.sys            OK: driver.fffff88004e00000.sys
0xfffff8800242e000 HTTP.sys             OK: driver.fffff8800242e000.sys
0xfffff88002c87000 termdd.sys           OK: driver.fffff88002c87000.sys
0xfffff88000c8f000 amdxata.sys          OK: driver.fffff88000c8f000.sys
0xfffff88000df0000 msahci.sys           OK: driver.fffff88000df0000.sys
0xfffff88004ad1000 ndiswan.sys          OK: driver.fffff88004ad1000.sys
0xfffff88002cb2000 discache.sys         OK: driver.fffff88002cb2000.sys
0xfffff88004a8b000 AgileVpn.sys         OK: driver.fffff88004a8b000.sys
0xfffff88001193000 rdbss.sys            OK: driver.fffff88001193000.sys
0xfffff88002874000 peauth.sys           OK: driver.fffff88002874000.sys
0xfffff880010d5000 fltmgr.sys           OK: driver.fffff880010d5000.sys
0xfffff88004fb6000 USBD.SYS             OK: driver.fffff88004fb6000.sys
0xfffff88002d97000 wfplwf.sys           OK: driver.fffff88002d97000.sys
0xfffff88000c7f000 PCIIDEX.SYS          OK: driver.fffff88000c7f000.sys
0xfffff88000c76000 atapi.sys            OK: driver.fffff88000c76000.sys
0xfffff88002cc9000 afd.sys              OK: driver.fffff88002cc9000.sys
0xfffff88002c9b000 nsiproxy.sys         OK: driver.fffff88002c9b000.sys
0xfffff88004bb8000 luafv.sys            OK: driver.fffff88004bb8000.sys
0xfffff8800165d000 Beep.SYS             OK: driver.fffff8800165d000.sys
0xfffff88000feb000 partmgr.sys          OK: driver.fffff88000feb000.sys
0xfffff880014be000 watchdog.sys         OK: driver.fffff880014be000.sys
0xfffff88004fc5000 crashdmp.sys         OK: driver.fffff88004fc5000.sys
0xfffff88000fc5000 WDFLDR.SYS           OK: driver.fffff88000fc5000.sys
0xfffff88000e00000 ACPI.sys             OK: driver.fffff88000e00000.sys
0xfffff88000e61000 CI.dll               OK: driver.fffff88000e61000.sys
0xfffff880010be000 TDI.SYS              OK: driver.fffff880010be000.sys
0xfffff88004f04000 portcls.sys          OK: driver.fffff88004f04000.sys
0xfffff88001072000 VBoxGuest.sys        OK: driver.fffff88001072000.sys
0xfffff88004a65000 intelppm.sys         OK: driver.fffff88004a65000.sys
0xfffff88000dc6000 ataport.SYS          OK: driver.fffff88000dc6000.sys
0xfffff88000d0b000 CLFS.SYS             OK: driver.fffff88000d0b000.sys
0xfffff88001000000 cng.sys              OK: driver.fffff88001000000.sys
0xfffff88001969000 hwpolicy.sys         OK: driver.fffff88001969000.sys
0xfffff88002b35000 DumpIt.sys           OK: driver.fffff88002b35000.sys
0xfffff880013ca000 ksecdd.sys           OK: driver.fffff880013ca000.sys
0xfffff88000d9c000 compbatt.sys         OK: driver.fffff88000d9c000.sys
0xfffff880049ab000 VBoxMouse.sys        OK: driver.fffff880049ab000.sys
0xfffff8800488c000 usbohci.sys          OK: driver.fffff8800488c000.sys
0xfffff88000e57000 WMILIB.SYS           OK: driver.fffff88000e57000.sys
0xfffff88004bdb000 rspndr.sys           OK: driver.fffff88004bdb000.sys
0xfffff880014ce000 RDPCDD.sys           OK: driver.fffff880014ce000.sys
0xfffff88002ca7000 mssmbios.sys         OK: driver.fffff88002ca7000.sys
0xfffff88002a2b000 srv.sys              OK: driver.fffff88002a2b000.sys
0xfffff960005a0000 dxg.sys              OK: driver.fffff960005a0000.sys
0xfffff88002d52000 netbt.sys            OK: driver.fffff88002d52000.sys
0xfffff88002dc6000 netbios.sys          OK: driver.fffff88002dc6000.sys
0xfffff88002da0000 pacer.sys            OK: driver.fffff88002da0000.sys
0xfffff88004947000 blbdrive.sys         OK: driver.fffff88004947000.sys
0xfffff88002c00000 VBoxSF.sys           OK: driver.fffff88002c00000.sys
0xfffff88004b56000 rdpbus.sys           OK: driver.fffff88004b56000.sys
0xfffff88001200000 tdx.sys              OK: driver.fffff88001200000.sys
0xfffff88001460000 ksecpkg.sys          OK: driver.fffff88001460000.sys
0xfffff960007c0000 TSDDD.dll            OK: driver.fffff960007c0000.sys
0xfffff8800255a000 mrxsmb10.sys         OK: driver.fffff8800255a000.sys
0xfffff8800499c000 kbdclass.sys         OK: driver.fffff8800499c000.sys
0xfffff88000fde000 vdrvroot.sys         OK: driver.fffff88000fde000.sys
0xfffff88000d69000 pci.sys              OK: driver.fffff88000d69000.sys
0xfffff88000ca8000 mcupdate.dll         OK: driver.fffff88000ca8000.sys
